field_id,index,mnemonic,description,EQSdisp,EQSscreen,BQL,env,soc,gov,esgo,fr_bbggei,fr_eet,fr_eutax,fr_sdgs,fr_sfdr,fr_tcfd,source,issue1,issue2,theme1,theme2,is_esg,esgd,field_pop_rank,freq,bqlc_y2021,bqlc_y2020,bqlc_y2019,bqlc_y2018,bqlc_freq
SA399,53618,PACKGNG_FROM_RECYCLED_MATERIALS,Packaging from Recycled Materials,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,851.0,Yearly,43.0,42.0,29.0,20.0,Yearly
SA400,53619,PCT_PACKGNG_FROM_RECYCLD_MATS,Percentage Packaging from Recycled Materials,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,719.0,Yearly,55.0,59.0,47.0,32.0,Yearly
SA401,53620,PACK_RECYCLABLE_COMPSTBL_MAT,Packaging Recyclable Compostable Materials,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1754.0,Yearly,25.0,19.0,11.0,5.0,Yearly
SA402,53621,PCT_RECYCLABLE_COMPSTBL_PACK,Percentage of Recyclable or Compostable Packaging,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1839.0,Yearly,44.0,51.0,37.0,20.0,Yearly
SA403,53622,AMOUNT_PALM_OIL_SOURCED,Amount of Palm Oil Sourced,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,1714.0,Yearly,15.0,25.0,25.0,18.0,Yearly
SA404,53623,P_PALM_OIL_SOURCED_THRU_RSPO,Percentage Palm Oil Sourced Through RSPO,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,1727.0,Yearly,62.0,66.0,63.0,42.0,Yearly
SA405,53624,NUM_PROD_3RD_PTY_STBLY_CERTS,Number Products Third Party Sustainability Certs,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1859.0,Yearly,3.0,3.0,3.0,3.0,Yearly
SA406,53625,PCT_PROD_3RD_PTY_STBLY_CERTS,Percentage Products Third Party Stbly Certs,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,SustainableProduct,,ValueChain,,True,True,1851.0,Yearly,6.0,9.0,11.0,7.0,Yearly
SA407,53626,REFRIGERANT_EMISSNS,Refrigerant Emissions,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,GHGEmissionsManagement,,ClimateChange,,True,True,1863.0,Yearly,22.0,23.0,19.0,14.0,Yearly
SA408,53627,AMOUNT_OF_FOOD_WASTE_GENRTD,Amount of Food Waste Generated,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,WasteManagement,,NaturalCapital,,True,True,1772.0,Yearly,42.0,34.0,28.0,23.0,Yearly
SA409,53628,PCT_OF_FOOD_WASTE_DIVRTD,Percentage of Food Waste Diverted,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,WasteManagement,,NaturalCapital,,True,True,1847.0,Yearly,15.0,13.0,9.0,8.0,Yearly
SA410,53629,NUM_OF_FOOD_SAFETY_VIOLTNS,Number of Food Safety Violations,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,1848.0,Yearly,36.0,30.0,23.0,17.0,Yearly
SA411,53630,NUM_OF_FOOD_SAFETY_INSPCTNS,Number of Food Safety Inspections,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,2199.0,Yearly,12.0,5.0,7.0,4.0,Yearly
SA412,53631,NUM_VILTNS_LABLNG_MRKTNG_REG,Number of Violtns of Labeling and Marktng Regltns,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,Marketing&Labeling,,BusinessPractices,,True,True,2137.0,Yearly,123.0,122.0,97.0,59.0,Yearly
SA413,53632,RESPNSBLE_LABLNG_POLICY,Responsible Labeling Policy,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,Marketing&Labeling,,BusinessPractices,,True,True,792.0,Yearly,1355.0,1025.0,996.0,962.0,Yearly
SA414,53633,ANML_WELFRE_POLICY,Animal Welfare Policy,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,1649.0,Yearly,1696.0,1277.0,1225.0,1184.0,Yearly
SA416,53634,OFFRS_GMO_FREE_ALT,Offers Genetically Modified Organism Free Altrntvs,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,2119.0,Yearly,659.0,532.0,521.0,511.0,Yearly
SA417,53635,PCT_EGGS_SOLD_CAGE_FREE_SRC,Percentage of Eggs Sold from Cage Free Sources,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,2120.0,Yearly,41.0,41.0,27.0,19.0,Yearly
SA418,53636,PCT_PORK_SLD_GESTTN_CRT_FREE,Pct of Pork Sold from Gestation Crate Free Sources,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,EnvironmentalSupplyChainManagement,,ValueChain,,True,True,2118.0,Yearly,13.0,16.0,10.0,7.0,Yearly
SA419,53637,INVSTGATD_FD_SAFETY_NATL_REG,Investigated for Food Safety by National Regltrs,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,894.0,Yearly,659.0,532.0,520.0,508.0,Yearly
SA420,53638,PORTN_CONTRL_POLICY,Portion Control Policy,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,CustomerWelfare&Reach,,Community&Customers,,True,True,2142.0,Yearly,656.0,523.0,510.0,498.0,Yearly
SA421,53639,RESPNSBLE_ADVRTSNG_POLICY,Responsible Advertising Policy,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,Marketing&Labeling,,BusinessPractices,,True,True,692.0,Yearly,3317.0,2545.0,2458.0,2364.0,Yearly
SA422,53640,CO_ALGN_WHO_FRMWRK_TOB_CTRL,Comp Aligns with WHO Frmwrk Conv on Tobcco Ctrl,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,Marketing&Labeling,,BusinessPractices,,True,True,2124.0,Yearly,61.0,84.0,103.0,98.0,Yearly
SA423,53641,NUM_COMP_FACS_GFSI_SFTY_AUD,Num of Comp Facs GFSI Fd Safety Aud Cndctd,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,2121.0,Yearly,9.0,10.0,10.0,6.0,Yearly
SA424,53642,NUM_COMP_FACS_AUD_GFSI_AUD,Num of Comp Facs Aud to GFSI Fd Safety Aud,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,2127.0,Yearly,11.0,8.0,6.0,5.0,Yearly
SA425,53643,PCT_COMP_FACS_AUD_CERT_GFSI,Pct of Comp Facs Aud / Certif to the GFSI,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,1841.0,Yearly,22.0,23.0,22.0,11.0,Yearly
SA426,53644,NUM_COMP_FACS_NC_GFSI_AUD,Num Comp Facs in NonCompl With GFSI Fd Safety Aud,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,2122.0,Yearly,3.0,2.0,1.0,0.0,Yearly
SA427,53645,PCT_COMP_FACS_NC_GFSI_AUD,Pct Comp Facs in NonCompl With GFSI Fd Safety Aud,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,1349.0,Yearly,4.0,2.0,1.0,0.0,Yearly
SA428,53646,PCT_ING_SRC_GFSI_CERT_SUPPLR,Pct Ingredients Sourced GFSI Certified Suppliers,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,1737.0,Yearly,12.0,8.0,7.0,4.0,Yearly
SA429,53647,COMMIT_REDCE_PESTCDE_USE,Commitment to Reduce Pesticide Use,True,False,True,False,True,False,False,False,False,False,False,False,False,BLP,ProductQuality&Safety,,Community&Customers,,True,True,1748.0,Yearly,653.0,526.0,513.0,501.0,Yearly
SA430,53648,ORGANIC_WASTE_MANURE_GENERATED,Organic Waste/Manure Generated,True,False,True,True,False,False,False,False,False,False,False,False,False,BLP,WasteManagement,,NaturalCapital,,True,True,1865.0,Yearly,7.0,12.0,12.0,9.0,Yearly
